Name,File,Hash,RecOff,OffKnock,OffKnockPlayer
damagebeegun,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,ADF7DEE1,348337,348501,348505
damagebeegunextendersmall,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,F06F5DBA,428503,428667,428671
damageboombatqueen,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,2593D7E2,154740,154904,154908
damagedynamite,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,1B2A36F7,126222,126386,126390
damagedynamiteextender,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,E675A21B,416170,416334,416338
damagedynamiteextenderloader,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,56F3F96B,226760,226924,226928
damageriotslug,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,C4840A58,378240,378404,378408
damagestingbee,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,9D2CD827,328265,328429,328433
immobilizebolablast,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,7309C2DC,274336,274500,274504
immobilizeskunkbombextender,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,316C1E5E,168659,168823,168827
immobilizesparkstunkz,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,199D023C,124437,124601,124605
immobilizespiderbolaextendermedium,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,13349037,95702,95866,95870
immobilizespiderbolaextendersmall,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,A80AE619,341453,341617,341621
punch,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,1BD366E4,127092,127256,127260
sendtochipmunkextender,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,B370E9CA,355662,355826,355830
sendtohowlerpunk,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,87B60D14,292922,293086,293090
sniperdart,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,2B365C4D,161503,161667,161671
trapfuzzlejump,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,4883CEE4,213532,213696,213700
trapfuzzleloader,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,1C451DE6,140429,140593,140597
trapfuzzleloaderextender,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,E29179A6,413801,413965,413969
trapfuzzlerabid,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,A8DE80EE,342414,342578,342582
trapfuzzlerabidjump,data/bundles/region_01/lm_level_01/lm_level_01_tgl.smb,2ACA2B15,160657,160821,160825
activatehivequeen,data/bundles/region_02/lm_level_02_blockmap.smh,8372BA80,492650,492814,492818
activatehivequeencharged,data/bundles/region_02/lm_level_02_blockmap.smh,12ADE690,263604,263768,263772
damagearmadilloloader,data/bundles/region_02/lm_level_02_blockmap.smh,9908C9FE,540682,540846,540850
damagearmadilloloaderextender,data/bundles/region_02/lm_level_02_blockmap.smh,E27EE3FE,815325,815489,815493
damagebeegun,data/bundles/region_02/lm_level_02_blockmap.smh,ADF7DEE1,574990,575154,575158
damagebeegunextendersmall,data/bundles/region_02/lm_level_02_blockmap.smh,F06F5DBA,833484,833648,833652
damageboombatqueen,data/bundles/region_02/lm_level_02_blockmap.smh,2593D7E2,296152,296316,296320
damagedynamite,data/bundles/region_02/lm_level_02_blockmap.smh,1B2A36F7,277474,277638,277642
damagedynamiteextender,data/bundles/region_02/lm_level_02_blockmap.smh,E675A21B,818559,818723,818727
damagedynamiteextenderloader,data/bundles/region_02/lm_level_02_blockmap.smh,56F3F96B,417239,417403,417407
damageriotslug,data/bundles/region_02/lm_level_02_blockmap.smh,C4840A58,639200,639364,639368
damagestingbee,data/bundles/region_02/lm_level_02_blockmap.smh,9D2CD827,549106,549270,549274
immobilizebolablast,data/bundles/region_02/lm_level_02_blockmap.smh,7309C2DC,471690,471854,471858
immobilizeskunkbombextender,data/bundles/region_02/lm_level_02_blockmap.smh,316C1E5E,324236,324400,324404
immobilizesparkstunkz,data/bundles/region_02/lm_level_02_blockmap.smh,199D023C,275252,275416,275420
immobilizespiderbolaextendermedium,data/bundles/region_02/lm_level_02_blockmap.smh,13349037,264207,264371,264375
immobilizespiderbolaextendersmall,data/bundles/region_02/lm_level_02_blockmap.smh,A80AE619,567500,567664,567668
punch,data/bundles/region_02/lm_level_02_blockmap.smh,1BD366E4,278344,278508,278512
sendtochipmunkextender,data/bundles/region_02/lm_level_02_blockmap.smh,B370E9CA,587226,587390,587394
sendtohowlerpunk,data/bundles/region_02/lm_level_02_blockmap.smh,87B60D14,499944,500108,500112
sniperdart,data/bundles/region_02/lm_level_02_blockmap.smh,2B365C4D,305040,305204,305208
trapfuzzlejump,data/bundles/region_02/lm_level_02_blockmap.smh,4883CEE4,397684,397848,397852
trapfuzzleloader,data/bundles/region_02/lm_level_02_blockmap.smh,1C451DE6,279527,279691,279695
trapfuzzleloaderextender,data/bundles/region_02/lm_level_02_blockmap.smh,E29179A6,815984,816148,816152
trapfuzzlerabid,data/bundles/region_02/lm_level_02_blockmap.smh,A8DE80EE,569293,569457,569461
trapfuzzlerabidjump,data/bundles/region_02/lm_level_02_blockmap.smh,2ACA2B15,304041,304205,304209
activatehivequeen,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,8372BA80,492638,492802,492806
activatehivequeencharged,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,12ADE690,263592,263756,263760
damagearmadilloloader,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,9908C9FE,540670,540834,540838
damagearmadilloloaderextender,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,E27EE3FE,815313,815477,815481
damagebeegun,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,ADF7DEE1,574978,575142,575146
damagebeegunextendersmall,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,F06F5DBA,833472,833636,833640
damageboombatqueen,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,2593D7E2,296140,296304,296308
damagedynamite,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,1B2A36F7,277462,277626,277630
damagedynamiteextender,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,E675A21B,818547,818711,818715
damagedynamiteextenderloader,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,56F3F96B,417227,417391,417395
damageriotslug,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,C4840A58,639188,639352,639356
damagestingbee,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,9D2CD827,549094,549258,549262
immobilizebolablast,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,7309C2DC,471678,471842,471846
immobilizeskunkbombextender,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,316C1E5E,324224,324388,324392
immobilizesparkstunkz,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,199D023C,275240,275404,275408
immobilizespiderbolaextendermedium,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,13349037,264195,264359,264363
immobilizespiderbolaextendersmall,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,A80AE619,567488,567652,567656
punch,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,1BD366E4,278332,278496,278500
sendtochipmunkextender,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,B370E9CA,587214,587378,587382
sendtohowlerpunk,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,87B60D14,499932,500096,500100
sniperdart,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,2B365C4D,305028,305192,305196
trapfuzzlejump,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,4883CEE4,397672,397836,397840
trapfuzzleloader,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,1C451DE6,279515,279679,279683
trapfuzzleloaderextender,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,E29179A6,815972,816136,816140
trapfuzzlerabid,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,A8DE80EE,569281,569445,569449
trapfuzzlerabidjump,data/bundles/region_02/lm_level_02/lm_level_02_tgl.smb,2ACA2B15,304029,304193,304197
activatehivequeen,data/bundles/region_02a/lm_level_02a_blockmap.smh,8372BA80,164709,164873,164877
activatehivequeencharged,data/bundles/region_02a/lm_level_02a_blockmap.smh,12ADE690,89488,89652,89656
damagearmadilloloader,data/bundles/region_02a/lm_level_02a_blockmap.smh,9908C9FE,183835,183999,184003
damagearmadilloloaderextender,data/bundles/region_02a/lm_level_02a_blockmap.smh,E27EE3FE,240150,240314,240318
damagebeegun,data/bundles/region_02a/lm_level_02a_blockmap.smh,ADF7DEE1,201616,201780,201784
damagebeegunextendersmall,data/bundles/region_02a/lm_level_02a_blockmap.smh,F06F5DBA,249295,249459,249463
damageboombatqueen,data/bundles/region_02a/lm_level_02a_blockmap.smh,2593D7E2,104203,104367,104371
damagedynamite,data/bundles/region_02a/lm_level_02a_blockmap.smh,1B2A36F7,98033,98197,98201
damagedynamiteextender,data/bundles/region_02a/lm_level_02a_blockmap.smh,E675A21B,241614,241778,241782
damagedynamiteextenderloader,data/bundles/region_02a/lm_level_02a_blockmap.smh,56F3F96B,134103,134267,134271
damageriotslug,data/bundles/region_02a/lm_level_02a_blockmap.smh,C4840A58,219085,219249,219253
damagestingbee,data/bundles/region_02a/lm_level_02a_blockmap.smh,9D2CD827,187926,188090,188094
immobilizebolablast,data/bundles/region_02a/lm_level_02a_blockmap.smh,7309C2DC,157751,157915,157919
immobilizeskunkbombextender,data/bundles/region_02a/lm_level_02a_blockmap.smh,316C1E5E,113460,113624,113628
immobilizesparkstunkz,data/bundles/region_02a/lm_level_02a_blockmap.smh,199D023C,96794,96958,96962
immobilizespiderbolaextendermedium,data/bundles/region_02a/lm_level_02a_blockmap.smh,13349037,90091,90255,90259
immobilizespiderbolaextendersmall,data/bundles/region_02a/lm_level_02a_blockmap.smh,A80AE619,194941,195105,195109
punch,data/bundles/region_02a/lm_level_02a_blockmap.smh,1BD366E4,99071,99235,99239
sendtochipmunkextender,data/bundles/region_02a/lm_level_02a_blockmap.smh,B370E9CA,208370,208534,208538
sendtohowlerpunk,data/bundles/region_02a/lm_level_02a_blockmap.smh,87B60D14,168124,168288,168292
sniperdart,data/bundles/region_02a/lm_level_02a_blockmap.smh,2B365C4D,106645,106809,106813
trapfuzzlejump,data/bundles/region_02a/lm_level_02a_blockmap.smh,4883CEE4,127140,127304,127308
trapfuzzleloader,data/bundles/region_02a/lm_level_02a_blockmap.smh,1C451DE6,100150,100314,100318
trapfuzzleloaderextender,data/bundles/region_02a/lm_level_02a_blockmap.smh,E29179A6,240809,240973,240977
trapfuzzlerabid,data/bundles/region_02a/lm_level_02a_blockmap.smh,A8DE80EE,195749,195913,195917
trapfuzzlerabidjump,data/bundles/region_02a/lm_level_02a_blockmap.smh,2ACA2B15,105799,105963,105967
activatehivequeen,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,8372BA80,164697,164861,164865
activatehivequeencharged,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,12ADE690,89476,89640,89644
damagearmadilloloader,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,9908C9FE,183823,183987,183991
damagearmadilloloaderextender,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,E27EE3FE,240138,240302,240306
damagebeegun,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,ADF7DEE1,201604,201768,201772
damagebeegunextendersmall,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,F06F5DBA,249283,249447,249451
damageboombatqueen,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,2593D7E2,104191,104355,104359
damagedynamite,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,1B2A36F7,98021,98185,98189
damagedynamiteextender,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,E675A21B,241602,241766,241770
damagedynamiteextenderloader,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,56F3F96B,134091,134255,134259
damageriotslug,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,C4840A58,219073,219237,219241
damagestingbee,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,9D2CD827,187914,188078,188082
immobilizebolablast,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,7309C2DC,157739,157903,157907
immobilizeskunkbombextender,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,316C1E5E,113448,113612,113616
immobilizesparkstunkz,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,199D023C,96782,96946,96950
immobilizespiderbolaextendermedium,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,13349037,90079,90243,90247
immobilizespiderbolaextendersmall,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,A80AE619,194929,195093,195097
punch,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,1BD366E4,99059,99223,99227
sendtochipmunkextender,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,B370E9CA,208358,208522,208526
sendtohowlerpunk,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,87B60D14,168112,168276,168280
sniperdart,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,2B365C4D,106633,106797,106801
trapfuzzlejump,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,4883CEE4,127128,127292,127296
trapfuzzleloader,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,1C451DE6,100138,100302,100306
trapfuzzleloaderextender,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,E29179A6,240797,240961,240965
trapfuzzlerabid,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,A8DE80EE,195737,195901,195905
trapfuzzlerabidjump,data/bundles/region_02a/lm_level_02a/lm_level_02a_tgl.smb,2ACA2B15,105787,105951,105955
activatehivequeen,data/bundles/region_03/lm_level_03_blockmap.smh,8372BA80,505640,505804,505808
activatehivequeencharged,data/bundles/region_03/lm_level_03_blockmap.smh,12ADE690,326190,326354,326358
damagearmadilloloader,data/bundles/region_03/lm_level_03_blockmap.smh,9908C9FE,543922,544086,544090
damagearmadilloloaderextender,data/bundles/region_03/lm_level_03_blockmap.smh,E27EE3FE,674224,674388,674392
damagebeegun,data/bundles/region_03/lm_level_03_blockmap.smh,ADF7DEE1,574064,574228,574232
damagebeegunextendersmall,data/bundles/region_03/lm_level_03_blockmap.smh,F06F5DBA,695492,695656,695660
damageboombatqueen,data/bundles/region_03/lm_level_03_blockmap.smh,2593D7E2,360847,361011,361015
damagedynamite,data/bundles/region_03/lm_level_03_blockmap.smh,1B2A36F7,343572,343736,343740
damagedynamiteextender,data/bundles/region_03/lm_level_03_blockmap.smh,E675A21B,677025,677189,677193
damagedynamiteextenderloader,data/bundles/region_03/lm_level_03_blockmap.smh,56F3F96B,435435,435599,435603
damageriotslug,data/bundles/region_03/lm_level_03_blockmap.smh,C4840A58,606299,606463,606467
damagestingbee,data/bundles/region_03/lm_level_03_blockmap.smh,9D2CD827,551034,551198,551202
immobilizebolablast,data/bundles/region_03/lm_level_03_blockmap.smh,7309C2DC,487660,487824,487828
immobilizeskunkbombextender,data/bundles/region_03/lm_level_03_blockmap.smh,316C1E5E,384555,384719,384723
immobilizesparkstunkz,data/bundles/region_03/lm_level_03_blockmap.smh,199D023C,341386,341550,341554
immobilizespiderbolaextendermedium,data/bundles/region_03/lm_level_03_blockmap.smh,13349037,326946,327110,327114
immobilizespiderbolaextendersmall,data/bundles/region_03/lm_level_03_blockmap.smh,A80AE619,567162,567326,567330
punch,data/bundles/region_03/lm_level_03_blockmap.smh,1BD366E4,344610,344774,344778
sendtochipmunkextender,data/bundles/region_03/lm_level_03_blockmap.smh,B370E9CA,582959,583123,583127
sendtohowlerpunk,data/bundles/region_03/lm_level_03_blockmap.smh,87B60D14,510691,510855,510859
sniperdart,data/bundles/region_03/lm_level_03_blockmap.smh,2B365C4D,372504,372668,372672
trapfuzzlejump,data/bundles/region_03/lm_level_03_blockmap.smh,4883CEE4,415606,415770,415774
trapfuzzleloader,data/bundles/region_03/lm_level_03_blockmap.smh,1C451DE6,345521,345685,345689
trapfuzzleloaderextender,data/bundles/region_03/lm_level_03_blockmap.smh,E29179A6,674883,675047,675051
trapfuzzlerabid,data/bundles/region_03/lm_level_03_blockmap.smh,A8DE80EE,569218,569382,569386
trapfuzzlerabidjump,data/bundles/region_03/lm_level_03_blockmap.smh,2ACA2B15,371658,371822,371826
activatehivequeen,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,8372BA80,505628,505792,505796
activatehivequeencharged,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,12ADE690,326178,326342,326346
damagearmadilloloader,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,9908C9FE,543910,544074,544078
damagearmadilloloaderextender,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,E27EE3FE,674212,674376,674380
damagebeegun,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,ADF7DEE1,574052,574216,574220
damagebeegunextendersmall,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,F06F5DBA,695480,695644,695648
damageboombatqueen,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,2593D7E2,360835,360999,361003
damagedynamite,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,1B2A36F7,343560,343724,343728
damagedynamiteextender,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,E675A21B,677013,677177,677181
damagedynamiteextenderloader,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,56F3F96B,435423,435587,435591
damageriotslug,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,C4840A58,606287,606451,606455
damagestingbee,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,9D2CD827,551022,551186,551190
immobilizebolablast,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,7309C2DC,487648,487812,487816
immobilizeskunkbombextender,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,316C1E5E,384543,384707,384711
immobilizesparkstunkz,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,199D023C,341374,341538,341542
immobilizespiderbolaextendermedium,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,13349037,326934,327098,327102
immobilizespiderbolaextendersmall,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,A80AE619,567150,567314,567318
punch,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,1BD366E4,344598,344762,344766
sendtochipmunkextender,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,B370E9CA,582947,583111,583115
sendtohowlerpunk,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,87B60D14,510679,510843,510847
sniperdart,data/bundles/region_03/lm_level_03/lm_level_03_tgl.smb,2B365C4D,372492,372656,372660
